timestamp,ticker,action,quantity,exchange,price,commission
2012-07-31 00:00:00,AAPL,BOT,12567541174599090039134006389788866748093283122514155983967238354288065203859574078895007877152652207474643454133114670727051011398972220363984888397824,ARCA,610.76,6.283770587299545e+148
2012-07-31 00:00:00,AMZN,BOT,2662590053743104464119999422994380281103065842422170452154078833011086131056258220869659947406450931705991502569340117211493850391109444654161398333440,ARCA,233.3,1.3312950268715522e+148
2012-08-31 00:00:00,AAPL,BOT,21392814039215300714008114163361291156580777790625012574691631971229348469989783082388397803691291186384178214228783267314004394550866889194610683281408,ARCA,665.24,1.069640701960765e+149
2012-08-31 00:00:00,AMZN,BOT,5649916779320748885716933947787515457001344702715582175192728877392620314446385641686208782551057880237090361121033226559940934635098836105920715423744,ARCA,248.27,2.824958389660374e+148
2012-10-31 00:00:00,AAPL,SLD,34839169335603030264106475824240846550045024272411189278573470724636796966550455254528595786508602662073028045703949789605683707360069971564023580196864,ARCA,595.32,1.7419584667801513e+149
2012-10-31 00:00:00,AMZN,SLD,9421012190193371453940951649970939609077605623432799806060534743077218742389800959786887175104432850389948000712647825949281213737025984651368375255040,ARCA,232.8931,4.7105060950966865e+148
2012-11-30 00:00:00,AAPL,SLD,10425670109104746895471201201303621196849309893386814038260737910381367789868488289582864271377226379878599217100558851911556466468952683403238239633408,ARCA,585.28,5.212835054552374e+148
2012-11-30 00:00:00,AMZN,SLD,2871909205458129623116725563203940019570655124833506168470511316509843967460951549171856384234283343128464314415399224339131293989425946791435374166016,ARCA,252.05,1.4359546027290648e+148
2012-12-31 00:00:00,AAPL,SLD,15859513380635192381676572622754412835090826362960167327734205770645594264851590399190221525238867990672204472944313117162395135642907498065149189685248,ARCA,532.1729,7.929756690317597e+148
2012-12-31 00:00:00,AMZN,SLD,3555522110639743107873249831835218370714189371504593497244981694517491334380570341546109191102061350811021451344765868952911697092855818607645467607040,ARCA,250.87,1.7777610553198715e+148
2013-01-31 00:00:00,AAPL,SLD,14088078179624905050549925822242644995206474751720787392595169644329340639708975071429030069085260778289558866393684263556865763211825613568854435299328,ARCA,455.49,7.044039089812452e+148
